Date,Steps
2024-01-01,10345
2024-01-02,12280
2024-01-03,16621
2024-01-04,10725
2024-01-05,12152
2024-01-06,11036
2024-01-07,27155
2024-01-08,12437
2024-01-09,19838
2024-01-10,18515
2024-01-11,12166
2024-01-12,12596
2024-01-13,11744
2024-01-14,32198
2024-01-15,13608
2024-01-16,10794
2024-01-17,11526
2024-01-18,18572
2024-01-19,13881
2024-01-20,11171
2024-01-21,20581
2024-01-22,10064
2024-01-23,14518
2024-01-24,16283
2024-01-25,16706
2024-01-26,16321
2024-01-27,13072
2024-01-28,17510
2024-01-29,16524
2024-01-30,18902
2024-01-31,14906
2024-02-01,15377
2024-02-02,13054
2024-02-03,10006
2024-02-04,32649
2024-02-05,11262
2024-02-06,10052
2024-02-07,10240
2024-02-08,10665
2024-02-09,13686
2024-02-10,16422
2024-02-11,4711
2024-02-12,7571
2024-02-13,11750
2024-02-14,11280
2024-02-15,10598
2024-02-16,10638
2024-02-17,12985
2024-02-18,10215
2024-02-19,10089
2024-02-20,10595
2024-02-21,11857
2024-02-22,18214
2024-02-23,11510
2024-02-24,10989
2024-02-25,18471
2024-02-26,15475
2024-02-27,18297
2024-02-28,15077
2024-02-29,10480
2024-03-01,14675
2024-03-02,22138
2024-03-03,17725
2024-03-04,15549
2024-03-05,16422
2024-03-06,13957
2024-03-07,12711
2024-03-08,11223
2024-03-09,11404
2024-03-10,21234
2024-03-11,10968
2024-03-12,12721
2024-03-13,16075
2024-03-14,11639
2024-03-15,10755
2024-03-16,11554
2024-03-17,22217
2024-03-18,12115
2024-03-19,13051
2024-03-20,10971
2024-03-21,15097
2024-03-22,16685
2024-03-23,10114
2024-03-24,15006
2024-03-25,12430
2024-03-26,10105
2024-03-27,15023
2024-03-28,16196
2024-03-29,14268
2024-03-30,16379
2024-03-31,10593
2024-04-01,10513
2024-04-02,11972
2024-04-03,15440
2024-04-04,10760
2024-04-05,10961
2024-04-06,12185
2024-04-07,13114
2024-04-08,14601
2024-04-09,15030
2024-04-10,19586
2024-04-11,11795
2024-04-12,20322
2024-04-13,11277
2024-04-14,19391
2024-04-15,11703
2024-04-16,18502
2024-04-17,11345
2024-04-18,16133
2024-04-19,18886
2024-04-20,22034
2024-04-21,11265
2024-04-22,12068
2024-04-23,11272
2024-04-24,11474
2024-04-25,16144
2024-04-26,13739
2024-04-27,11977
2024-04-28,12556
2024-04-29,15588
2024-04-30,10953
2024-05-01,16183
2024-05-02,16340
2024-05-03,16094
2024-05-04,14666
2024-05-05,10413
2024-05-06,12512
2024-05-07,14872
2024-05-08,17993
2024-05-09,15272
2024-05-10,13661
2024-05-11,19079
2024-05-12,10221
2024-05-13,15206
2024-05-14,15062
2024-05-15,14319
2024-05-16,21225
2024-05-17,15323
2024-05-18,10073
2024-05-19,11247
2024-05-20,13149
2024-05-21,11369
2024-05-22,15657
2024-05-23,11560
2024-05-24,11140
2024-05-25,15756
2024-05-26,18206
2024-05-27,10200
2024-05-28,13046
2024-05-29,20767
2024-05-30,16187
2024-05-31,10410
2024-06-01,15273
2024-06-02,21254
2024-06-03,12785
2024-06-04,11574
2024-06-05,14959
2024-06-06,11095
2024-06-07,10051
2024-06-08,10022
2024-06-09,21082
2024-06-10,10391
2024-06-11,16946
2024-06-12,16362
2024-06-13,22783
2024-06-14,12034
2024-06-15,13154
2024-06-16,19786
2024-06-17,15594
2024-06-18,10107
2024-06-19,13436
2024-06-20,22113
2024-06-21,15319
2024-06-22,19308
2024-06-23,14315
2024-06-24,11111
2024-06-25,18492
2024-06-26,18368
2024-06-27,16451
2024-06-28,14161
2024-06-29,12705
2024-06-30,19278
2024-07-01,19327
2024-07-02,22501
2024-07-03,16933
2024-07-04,12965
2024-07-05,10246
2024-07-06,13426
2024-07-07,19345
2024-07-08,14916
2024-07-09,18456
2024-07-10,22771
2024-07-11,17548
2024-07-12,17311
2024-07-13,16252
2024-07-14,29789
2024-07-15,16181
2024-07-16,21577
2024-07-17,23433
2024-07-18,16125
2024-07-19,13984
2024-07-20,10083
